symbol,date,threshold,PPO,SAC,TD3,LST,LS10,LSR,LCl,weights,section
TSLA,2026-07-09,0 (79),0.88(-0.98),0.99(-1.09),1.00(-1.10),-0.0015(-0.0019),0.0206(-0.0207),1.4068( -6.6068),-0.15( -0.79),"[0, 0, 0, 21, 0, 0, 79]",American stocks
UBER,2026-07-09,36 (56),-0.82( 0.00),0.65(-0.75),-0.99( 0.00),0.0100(-0.0101),-0.0010(-0.0015),2.9193( -4.3193),-0.49(  0.42),"[15, 0, 11, 0, 56, 8, 10]",All Stocks
UBER,2026-07-09,36 (56),-0.82( 0.00),0.65(-0.75),-0.99( 0.00),0.0100(-0.0101),-0.0010(-0.0015),2.9193( -4.3193),-0.49(  0.42),"[15, 0, 11, 0, 56, 8, 10]",American stocks
UBER,2026-07-09,36 (56),-0.82( 0.00),0.65(-0.75),-0.99( 0.00),0.0100(-0.0101),-0.0010(-0.0015),2.9193( -4.3193),-0.49(  0.42),"[15, 0, 11, 0, 56, 8, 10]",Consumer Goods
UBR,2026-07-09,0 (42),-0.27(-0.12),-0.97(-0.01),1.00(-2.00),0.0034(-0.0035),-0.0066(-0.0036),4.5684(-10.1684),-0.14( -0.09),"[23, 2, 27, 42, 3, 2, 1]",All Stocks
UBR,2026-07-09,0 (42),-0.27(-0.12),-0.97(-0.01),1.00(-2.00),0.0034(-0.0035),-0.0066(-0.0036),4.5684(-10.1684),-0.14( -0.09),"[23, 2, 27, 42, 3, 2, 1]",Indexes
UBR,2026-07-09,0 (42),-0.27(-0.12),-0.97(-0.01),1.00(-2.00),0.0034(-0.0035),-0.0066(-0.0036),4.5684(-10.1684),-0.14( -0.09),"[23, 2, 27, 42, 3, 2, 1]",Brazilian Indexes
UDN,2026-07-09,72 (72),-1.00( 0.00),-0.89( 0.36),1.00(-1.10),-0.0014( 0.0013),-0.0021(-0.0001),4.8188(-10.8188),-0.16(  0.00),"[28, 16, 0, 13, 15, 14, 15]",All Stocks
UDN,2026-07-09,72 (72),-1.00( 0.00),-0.89( 0.36),1.00(-1.10),-0.0014( 0.0013),-0.0021(-0.0001),4.8188(-10.8188),-0.16(  0.00),"[28, 16, 0, 13, 15, 14, 15]",Stocks to sell
UDN,2026-07-09,72 (72),-1.00( 0.00),-0.89( 0.36),1.00(-1.10),-0.0014( 0.0013),-0.0021(-0.0001),4.8188(-10.8188),-0.16(  0.00),"[28, 16, 0, 13, 15, 14, 15]",STRONG SELL
UDN,2026-07-09,72 (72),-1.00( 0.00),-0.89( 0.36),1.00(-1.10),-0.0014( 0.0013),-0.0021(-0.0001),4.8188(-10.8188),-0.16(  0.00),"[28, 16, 0, 13, 15, 14, 15]",Indexes
UNH,2026-07-09,0 (39),0.42(-0.54),0.12(-0.22),1.00(-1.94),-0.0009(-0.0184),0.0035(-0.0134),1.7130( -6.1130),-0.37( -0.04),"[25, 13, 24, 0, 0, 38, 0]",All Stocks
UNH,2026-07-09,0 (39),0.42(-0.54),0.12(-0.22),1.00(-1.94),-0.0009(-0.0184),0.0035(-0.0134),1.7130( -6.1130),-0.37( -0.04),"[25, 13, 24, 0, 0, 38, 0]",American stocks
UNH,2026-07-09,0 (39),0.42(-0.54),0.12(-0.22),1.00(-1.94),-0.0009(-0.0184),0.0035(-0.0134),1.7130( -6.1130),-0.37( -0.04),"[25, 13, 24, 0, 0, 38, 0]",Health
UNIP3,2026-07-09,2 (40),0.81(-1.01),0.91(-1.01),0.51(-1.51),0.0039(-0.0045),0.0127(-0.0128),1.3389( -5.5389),-0.73(  0.04),"[29, 0, 29, 0, 40, 0, 2]",All Stocks
UNIP5,2026-07-08,0 (50),0.06(-0.21),0.98(-1.08),1.00(-1.14),0.0083(-0.0089),0.0443(-0.0444),0.2282( -4.1282),-0.34( -0.45),"[11, 0, 10, 11, 0, 49, 19]",All Stocks
UNIP6,2026-07-09,19 (61),0.34(-0.44),0.97(-1.07),1.00(-1.10),0.0029(-0.0045),-0.0187(-0.0293),0.5787( -4.5787),-0.21(  0.09),"[0, 0, 0, 0, 61, 21, 19]",All Stocks
USIM3,2026-07-09,16 (28),0.27(-0.38),-0.98( 0.09),1.00(-1.77),0.0133(-0.0163),-0.0018(-0.0016),-2.7453( -1.5547),-0.38( -0.34),"[15, 16, 14, 12, 17, 14, 12]",All Stocks
USIM5,2026-07-09,35 (20),0.06(-0.16),-0.98( 0.09),0.43(-1.43),-0.0015(-0.0006),-0.0084( 0.0083),-1.0691( -6.5309),-0.53( -0.40),"[16, 20, 15, 11, 15, 11, 11]",All Stocks
USIM5,2026-07-09,35 (20),0.06(-0.16),-0.98( 0.09),0.43(-1.43),-0.0015(-0.0006),-0.0084( 0.0083),-1.0691( -6.5309),-0.53( -0.40),"[16, 20, 15, 11, 15, 11, 11]",Stocks to sell
UUP,2026-07-09,0 (100),0.99(-1.09),0.99(-1.94),1.00(-1.93),0.0011(-0.0016),0.0030(-0.0031),-1.6929( -4.5071),-0.52( -0.48),"[0, 0, 100, 0, 0, 0, 0]",All Stocks
UUP,2026-07-09,0 (100),0.99(-1.09),0.99(-1.94),1.00(-1.93),0.0011(-0.0016),0.0030(-0.0031),-1.6929( -4.5071),-0.52( -0.48),"[0, 0, 100, 0, 0, 0, 0]",Indexes
V,2026-07-09,15 (71),0.60(-1.03),0.99(-1.09),-1.00( 0.00),0.0039(-0.0054),0.0045(-0.0046),1.7084( -2.7084),-0.29(  0.28),"[71, 0, 8, 14, 0, 0, 7]",All Stocks
V,2026-07-09,15 (71),0.60(-1.03),0.99(-1.09),-1.00( 0.00),0.0039(-0.0054),0.0045(-0.0046),1.7084( -2.7084),-0.29(  0.28),"[71, 0, 8, 14, 0, 0, 7]",American stocks
V,2026-07-09,15 (71),0.60(-1.03),0.99(-1.09),-1.00( 0.00),0.0039(-0.0054),0.0045(-0.0046),1.7084( -2.7084),-0.29(  0.28),"[71, 0, 8, 14, 0, 0, 7]",Finance
