symbol,date,threshold,PPO,SAC,TD3,LST,LS10,LSR,LCl,weights,section
BRZU,2026-07-02,71 (76),-0.21(-0.49),-0.97(-1.38),-1.00(-1.53),0.0004(-0.0001),0.0093( 0.0053),0.5802( -1.2198),0.22(  0.06),"[1, 2, 1, 2, 42, 23, 29]",Brazilian Indexes
BSBR,2026-07-02,0 (53),0.16(-0.10),0.15(-0.77),-1.00(-1.10),0.0014(-0.0131),0.0031(-0.0173),-2.6646( -5.8646),0.00( -0.66),"[23, 23, 2, 1, 1, 20, 30]",All Stocks
BSBR,2026-07-02,0 (53),0.16(-0.10),0.15(-0.77),-1.00(-1.10),0.0014(-0.0131),0.0031(-0.0173),-2.6646( -5.8646),0.00( -0.66),"[23, 23, 2, 1, 1, 20, 30]",ADRs
BSBR,2026-07-02,0 (53),0.16(-0.10),0.15(-0.77),-1.00(-1.10),0.0014(-0.0131),0.0031(-0.0173),-2.6646( -5.8646),0.00( -0.66),"[23, 23, 2, 1, 1, 20, 30]",Finance
BSBR,2026-07-02,0 (53),0.16(-0.10),0.15(-0.77),-1.00(-1.10),0.0014(-0.0131),0.0031(-0.0173),-2.6646( -5.8646),0.00( -0.66),"[23, 23, 2, 1, 1, 20, 30]",Brazilian Finance
CIG,2026-07-02,46 (84),-0.20(-0.30),-1.00(-1.10),-1.00(-1.10),0.0016(-0.0003),0.0045( 0.0033),6.4622(  5.4622),0.45(  0.03),"[0, 3, 4, 47, 10, 6, 30]",All Stocks
CIG,2026-07-02,46 (84),-0.20(-0.30),-1.00(-1.10),-1.00(-1.10),0.0016(-0.0003),0.0045( 0.0033),6.4622(  5.4622),0.45(  0.03),"[0, 3, 4, 47, 10, 6, 30]",ADRs
CIG,2026-07-02,46 (84),-0.20(-0.30),-1.00(-1.10),-1.00(-1.10),0.0016(-0.0003),0.0045( 0.0033),6.4622(  5.4622),0.45(  0.03),"[0, 3, 4, 47, 10, 6, 30]",Brazilian Energy
CMIG3,2026-07-03,8 (75),0.72( 0.62),1.00( 0.90),1.00( 0.90),0.0106(-0.0014),0.0109(-0.0002),4.4034(  3.3034),0.10(  0.01),"[0, 0, 0, 74, 18, 3, 5]",All Stocks
CMIG3,2026-07-03,8 (75),0.72( 0.62),1.00( 0.90),1.00( 0.90),0.0106(-0.0014),0.0109(-0.0002),4.4034(  3.3034),0.10(  0.01),"[0, 0, 0, 74, 18, 3, 5]",Energy
CMIG3,2026-07-03,8 (75),0.72( 0.62),1.00( 0.90),1.00( 0.90),0.0106(-0.0014),0.0109(-0.0002),4.4034(  3.3034),0.10(  0.01),"[0, 0, 0, 74, 18, 3, 5]",Brazilian Energy
CMIG4,2026-07-03,100 (100),1.00( 0.90),0.93( 0.83),1.00( 0.90),0.0077( 0.0076),0.0195( 0.0001),0.7155( -0.2845),0.35(  0.34),"[0, 0, 0, 0, 100, 0, 0]",All Stocks
CMIG4,2026-07-03,100 (100),1.00( 0.90),0.93( 0.83),1.00( 0.90),0.0077( 0.0076),0.0195( 0.0001),0.7155( -0.2845),0.35(  0.34),"[0, 0, 0, 0, 100, 0, 0]",Stocks to buy
